descripcion,entidad_federativa,2013|Anual,2014|Anual,2015|Anual,2016|Anual,2017|Anual,2018|Anual,2019|Anual,2020|Anual,2021|Anual,2022|Anual,2023|Anual
Variación porcentual anual,Estados Unidos Mexicanos,1.371443489191492,2.713982339318349,3.1882162411963435,2.431550220627514,2.0447993038283983,2.143446782308871,-0.1988861180459622,-7.752336452343528,4.566413531634467,2.916133019491724,1.361605248944756
Variación porcentual anual,Aguascalientes,3.049699085679308,10.220068615355489,4.062189466886991,6.786290768566829,2.377772913364538,3.777491913336036,-1.0851111001925062,-7.925731416395507,0.9249588692829888,-1.969751892260348,2.249325290574327
Variación porcentual anual,Baja California,2.083270725843136,2.7060307056327275,6.972611945856627,4.7106611531567495,3.3189200102303715,2.298585299645396,1.6406000341093687,-3.7064512348028273,8.161069977051284,2.763548080783835,3.357200736552689
Variación porcentual anual,Baja California Sur,-1.9755198103496523,0.8688135426214671,12.491590989675828,2.6264312317952943,10.771258214575468,16.730371929538947,-8.225677832356354,-23.309747564770348,15.811137077515497,7.740247561195204,3.349779362383633
Variación porcentual anual,Campeche,0.8811007127397659,-4.868189518764439,-7.052179701986745,-5.801773411629824,-10.444290760986547,-1.5648180821934972,-2.295968632316203,-6.831390787008445,-4.070242679686501,-5.500263801254448,-4.427459504992997
Variación porcentual anual,Coahuila de Zaragoza,-2.064376074574909,3.9037335800174304,0.842478776508031,1.4745085473569617,5.151379361391449,1.0663979778751127,-0.7026633640737572,-11.253703783246335,5.877151304314836,0.5608128927312492,0.6945823502326061
Variación porcentual anual,Colima,0.974327370215434,2.49480571149536,2.3209519524280324,2.814138662003017,3.5132392245953383,2.93180986390918,3.873090629748674,-7.241269875972776,0.1599283893471295,1.5707981031239768,1.0867484816754045
Variación porcentual anual,Chiapas,-1.337513042829869,4.664546648858206,-2.1145292437823286,-0.2701639248824818,-3.293484683762557,-3.572549408344699,-2.233996936582201,-2.765750985104873,5.3949495807816135,5.216993799989652,-0.2868454751094618
Variación porcentual anual,Chihuahua,3.729364014727764,1.9742836845437493,5.136860158059236,4.614306521432468,3.236910982322371,2.28112850183291,1.5605370479960785,-5.774651712430597,4.891472722885922,4.737293660906403,2.5760726586358196
Variación porcentual anual,Ciudad de México,1.485674429099774,2.823934935581533,4.411083391900704,3.0469336279595183,2.9861105790524647,2.65699059925862,0.2040491185369717,-8.805664111193877,3.067423167519891,1.119907488055503,1.4812522033280755
Variación porcentual anual,Durango,3.339703214472209,2.071282444094109,-0.0417306622332347,4.029725089633615,-0.5490117497932232,1.359354807985241,0.8769929956757636,-6.906661878097225,5.498092685366785,-0.5349348933232534,1.156142784237005
Variación porcentual anual,Guanajuato,4.1430427992655865,4.2903337914058,5.445242193713341,2.979027410628362,4.5818891826672825,1.2653916940788434,-1.58389833704517,-7.263518351107848,4.875684469085044,3.2138824299422737,2.528200911255924
Variación porcentual anual,Guerrero,0.31766949420971,4.043495149289299,0.8440528403136511,2.005598189231208,-0.0387925048506332,2.815873335163886,0.0264973068691176,-9.169560473620692,3.9939026930124015,3.70697849538098,0.5437409948686628
Variación porcentual anual,Hidalgo,3.674090243579073,5.230699751939127,6.430494179148411,3.91912021951606,0.4777872085240346,2.5463386685626688,-1.6401651131470487,-10.389912214871714,2.986849991185167,8.734414243826322,1.8483428713765508
Variación porcentual anual,Jalisco,2.340293126189394,4.779027716134891,3.525684851093615,4.004460258494788,2.39193965646163,2.67376845940872,0.7168155757861143,-7.440385187856208,5.390940328729442,6.914902452366633,2.125347295527888
Variación porcentual anual,México,1.877590976900521,2.7204044741010733,3.0586754130762444,2.787461653738731,4.810507869267582,3.289255118767059,-1.7095839873347671,-5.848280979196048,5.865325147285034,2.077001321255409,2.0009812759797825
Variación porcentual anual,Michoacán de Ocampo,2.1122050563943304,5.616512790089189,1.6812392574643695,4.16373762767914,3.169417777167311,2.290763220091435,0.0435252118280402,-6.3520971637318695,2.3556341340126465,2.897009429962722,1.5679167325459251
Variación porcentual anual,Morelos,3.646930539577653,1.941679605791876,0.974857908679553,3.701709324048963,4.540060473401226,-0.94571044142792,-0.132697159636848,-10.592773574569064,3.676877829335922,6.275372328564345,1.1654839666811945
Variación porcentual anual,Nayarit,2.804799437807162,5.171671233290724,4.657691151142657,4.743206673064407,1.278004448031652,-0.2976224969463175,0.3337957116761174,-11.320595986727284,8.247089808657165,3.2748486494950555,2.3004244667417444
Variación porcentual anual,Nuevo León,1.003945952752744,3.215002485084483,5.7626293903479535,2.4074852543801484,3.8882626681245256,3.56824693844193,1.4377409122493106,-7.617444125403722,6.0628505456719495,2.0976929094722863,2.358763918292981
Variación porcentual anual,Oaxaca,2.434829891610548,1.923756173243604,4.145555061900822,-1.5473390119906014,-2.362504473029788,4.080253976091669,-3.0098634606060983,-6.07545960124682,5.078492901660709,6.707040737525745,0.8873489984689628
Variación porcentual anual,Puebla,-0.9479728665393594,1.3373221979160943,2.737255492781941,2.7200973988362307,6.081511781575344,2.506180270024444,-1.3994390292444052,-10.822380508019606,2.2150887284717413,4.135831980800589,0.6278197517918765
Variación porcentual anual,Querétaro,0.53263726131118,7.08670458986731,5.764340076115502,4.284807145295602,4.540822375134738,2.9447313899347023,-0.8471573630711049,-9.257205971723806,6.152541717963516,3.6719629860219527,2.5428585038656317
Variación porcentual anual,Quintana Roo,4.4331736126054295,3.542242045559661,4.64266437075014,7.135365137518576,4.097216466554187,5.261244263971349,1.2735894079954164,-23.469230198352136,16.03935586450369,10.79943950705595,3.2135831032261724
Variación porcentual anual,San Luis Potosí,3.566338347367932,2.864558288751766,3.991905718288706,3.857695633906261,3.687269951619143,4.275157526338418,-0.3328909473336807,-7.337067906668793,3.903024454152117,3.214872431954646,2.099677755281946
Variación porcentual anual,Sinaloa,1.182926066721507,1.790062481851379,5.519457889982689,4.901816895161829,1.2084992796078495,2.600430079511668,1.8567455060392464,-7.147694242809436,3.617001955047797,4.346699504713584,1.8015514934209385
Variación porcentual anual,Sonora,2.901570686920337,2.465390543178586,5.108057071676072,5.338098862904488,-0.5110873211671816,0.9422690485824176,-0.1171609338970682,-5.136039242107088,3.8289757287083432,3.761205556080085,1.8798712565841487
Variación porcentual anual,Tabasco,-1.8396368870987767,2.0168832676822603,-0.4571451646377227,-4.896159146831565,-4.731218451685876,-8.276967474925556,-3.924132364919714,3.4579607144535203,8.159014962550685,10.61417193443684,-0.21397311315096235
Variación porcentual anual,Tamaulipas,1.47309204840829,0.982565981825914,3.075101478549769,1.5979095576123823,-0.4173414814382283,2.031123450713835,1.7557673987842437,-8.425722642101562,1.6326614511751814,2.857960523806,0.5465353143024746
Variación porcentual anual,Tlaxcala,-2.5144493547227853,3.0857233937049813,6.746277364055516,0.4157643372569026,-1.3157539322887146,3.4486203626632204,4.736212429534305,-12.048491941821752,4.174364774356462,1.4506601824533902,0.9120656710235594
Variación porcentual anual,Veracruz de Ignacio de la Llave,0.2086413192394332,-0.0731952061864262,0.6353311932528527,-0.1038277246531862,-1.128412205971756,2.3123844505124254,0.9541391195764676,-7.840275902561714,3.826176774711556,-0.02682639313673,-0.01893089937295772
Variación porcentual anual,Yucatán,0.5065841377113856,3.7400236656478114,2.910655618566764,5.265677477249781,4.076536602983666,3.523375735415925,0.7875816617939364,-7.894405944041694,7.122848259394246,-0.402521285909529,2.184350717877673
Variación porcentual anual,Zacatecas,-1.257223164481417,6.774988874974895,1.9749610347284656,-1.1927708558317534,-0.2385614938205122,0.0064101772576918,-3.6472495611881897,-4.238546572601692,3.669563669561242,0.5081307321643749,0.48639968132033107
